Source,Target,Weight,Type
Aston Villa,AS Roma,2,Directed
Aston Villa,Arsenal,2,Directed
Aston Villa,Brentford,2,Directed
Aston Villa,Chelsea FC,2,Directed
Aston Villa,Club Brugge,2,Directed
Aston Villa,FC Barcelona,2,Directed
Aston Villa,Olympique Marseille,2,Directed
Aston Villa,Sevilla FC,2,Directed
Aston Villa,Wolverhampton Wanderers,2,Directed
Atalanta BC,Chelsea FC,2,Directed
Atalanta BC,KRC Genk,2,Directed
Atalanta BC,Parma Calcio,2,Directed
Atalanta BC,Sampdoria,2,Directed
Atalanta BC,US Sassuolo,2,Directed
Atalanta BC,Udinese Calcio,2,Directed
Athletic Bilbao,Paris Saint-Germain,2,Directed
Atlético Madrid,DL Pro,2,Directed
Atlético Madrid,FC Porto,2,Directed
Atlético Madrid,Udinese Calcio,2,Directed
Atlético Madrid,Valencia CF,2,Directed
Atromitos,AEK Athens,2,Directed
Atromitos,Caykur Rizespor,2,Directed
Atromitos,PAS Giannina,2,Directed
Barnsley,Hannover 96,2,Directed
Barnsley,Wolfsberger AC,2,Directed
Basaksehir,AC Milan,2,Directed
Basaksehir,Al-Ahli SFC,2,Directed
Basaksehir,Aston Villa,2,Directed
Basaksehir,Bursaspor,2,Directed
Basaksehir,Hamburger SV,2,Directed
Basaksehir,Konyaspor,2,Directed
Basaksehir,Pyramids FC,2,Directed
Bayer 04 Leverkusen,Club Brugge,2,Directed
Bayer 04 Leverkusen,Paris Saint-Germain,2,Directed
Bayer 04 Leverkusen,TSG 1899 Hoffenheim,2,Directed
Bayer 04 Leverkusen,Zenit Saint Petersburg,2,Directed
Bayern Munich,Borussia Mönchengladbach,2,Directed
Bayern Munich,Hamburger SV,2,Directed
Bayern Munich,Juventus,2,Directed
Bayern Munich,Manchester City,2,Directed
Bayern Munich,Paris Saint-Germain,2,Directed
Bayern Munich,RB Leipzig,2,Directed
Benevento Calcio,Sampdoria,2,Directed
Besiktas JK,Atlético Madrid,2,Directed
Besiktas JK,Basaksehir,2,Directed
Besiktas JK,FC Barcelona,2,Directed
Besiktas JK,Kayserispor,2,Directed
Besiktas JK,West Ham United,2,Directed
Birmingham City,Chelsea FC,2,Directed
Birmingham City,Middlesbrough FC,2,Directed
Birmingham City,Norwich,2,Directed
Birmingham City,West Bromwich Albion,2,Directed
Birmingham City,Wolverhampton Wanderers,2,Directed
Blackburn Rovers,Brighton & Hove Albion,2,Directed
Blackburn Rovers,Leeds United,2,Directed
Blackpool,Brentford,2,Directed
Blackpool,Cardiff City,2,Directed
Blackpool,Crewe Alexandra,2,Directed
Blackpool,Nottingham Forest,2,Directed
Boavista FC,Boca Juniors,2,Directed
Boavista FC,FC Porto,2,Directed
Boavista FC,LOSC Lille,2,Directed
Boavista FC,Santos FC,2,Directed
Boavista FC,Slavia Prague,2,Directed
Bologna FC 1909,Atalanta BC,2,Directed
Bologna FC 1909,BSC Young Boys,2,Directed
Bologna FC 1909,Cagliari,2,Directed
Bologna FC 1909,Chievo Verona,2,Directed
Bologna FC 1909,Juventus,2,Directed
Bologna FC 1909,KV Oostende,2,Directed
Bologna FC 1909,LOSC Lille,2,Directed
Bologna FC 1909,Potenza,2,Directed
Bologna FC 1909,Villarreal CF,2,Directed
Borussia Dortmund,1. FC Köln,2,Directed
Borussia Dortmund,Bayern Munich,2,Directed
Borussia Dortmund,Juventus,2,Directed
Borussia Dortmund,RB Salzburg,2,Directed
Borussia Mönchengladbach,RB Leipzig,2,Directed
Borussia Mönchengladbach,Toulouse,2,Directed
Brentford,Amiens SC,2,Directed
Brentford,FC Midtjylland,2,Directed
Brentford,Oxford United,2,Directed
Brescia,US Sassuolo,2,Directed
Brighton & Hove Albion,Ajax,2,Directed
Brighton & Hove Albion,Huddersfield Town,2,Directed
Bristol City,Colchester Utd.,2,Directed
Bristol City,Fulham FC,2,Directed
Bristol City,Leicester City,2,Directed
Bristol City,Luton Town,2,Directed
Bristol City,Oxford United,2,Directed
Burnley,Stoke City,2,Directed
Burnley,Swansea City,2,Directed
CA Osasuna,FC Barcelona,2,Directed
CA Osasuna,Girona FC,2,Directed
CA Osasuna,Levante UD,2,Directed
CA Osasuna,RCD Mallorca,2,Directed
CA Osasuna,Real Sociedad,2,Directed
CA Osasuna,SD Eibar,2,Directed
CD Tondela,Rio Ave FC,2,Directed
CSKA Moscow,Everton,2,Directed
CSKA Moscow,Internacional,2,Directed
CSKA Moscow,River Plate,2,Directed
Cagliari,Ajax,2,Directed
Cagliari,Pescara,2,Directed
Cagliari,US Sassuolo,2,Directed
Cardiff City,Charlton Athletic,2,Directed
Cardiff City,Crewe Alexandra,2,Directed
Cardiff City,Forest Green,2,Directed
Cardiff City,Middlesbrough FC,2,Directed
Cardiff City,Oxford United,2,Directed
Caykur Rizespor,AF Darou Salam,2,Directed
Caykur Rizespor,Altinordu,2,Directed
Caykur Rizespor,Dynamo Kyiv,2,Directed
Caykur Rizespor,Fatih Karagümrük,2,Directed
Caykur Rizespor,Genclerbirligi,2,Directed
Caykur Rizespor,Pazarspor,2,Directed
Caykur Rizespor,Somaspor,2,Directed
Caykur Rizespor,Trabzonspor,2,Directed
Celta de Vigo,Sampdoria,2,Directed
Celta de Vigo,Sevilla FC,2,Directed
Celta de Vigo,Valencia CF,2,Directed
Charlton Athletic,Bolton,2,Directed
Charlton Athletic,Brighton & Hove Albion,2,Directed
Charlton Athletic,West Bromwich Albion,2,Directed
Chelsea FC,Atlético Madrid,2,Directed
Chelsea FC,Leicester City,2,Directed
Clermont Foot,Servette FC,2,Directed
Coventry City,Nottingham Forest,2,Directed
Crystal Palace,1.FSV Mainz 05,2,Directed
Crystal Palace,Chelsea FC,2,Directed
Crystal Palace,Derby County,2,Directed
Crystal Palace,Everton,2,Directed
Crystal Palace,West Bromwich Albion,2,Directed
Cádiz CF,Elche CF,2,Directed
Cádiz CF,Rosario Central,2,Directed
Cádiz CF,SS Lazio,2,Directed
Cádiz CF,Valencia CF,2,Directed
Denizlispor,Akhisarspor,2,Directed
Denizlispor,Kasimpasa,2,Directed
Denizlispor,Kayserispor,2,Directed
Deportivo Alavés,FC Sochaux,2,Directed
Deportivo Alavés,Girona FC,2,Directed
Deportivo Alavés,Manchester United,2,Directed
Deportivo Alavés,Real Betis,2,Directed
Deportivo Alavés,SL Benfica,2,Directed
Deportivo Alavés,Valencia CF,2,Directed
Deportivo Alavés,West Ham United,2,Directed
Derby County,Brighton & Hove Albion,2,Directed
Derby County,Everton,2,Directed
Derby County,Huddersfield Town,2,Directed
Derby County,Wigan Athletic,2,Directed
Dijon FCO,Olympique Lyon,2,Directed
